Load address: $F400 Init address: $F400 Play address: $F52B
Calling initroutine with subtune 0
Calling playroutine for 2650 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|  1471 | 0758 (+ 0010) .. .... 4B8 | 26E8 (+ 0018) .. .... 698 | 2700 (- 001C) .. .... 774 | .... .. ... . |
|  1472 | 0768 (+ 0010) .. .... 4FE | 2700 (+ 0018) .. .... 6D4 | 26E4 (- 001C) .. .... 72E | .... .. ... . |
|  1473 | 0778 (+ 0010) .. .... 544 | 2718 (+ 0018) .. .... 710 | 26C8 (- 001C) .. .... 6E8 | .... .. ... . |
|  1474 | 0768 (- 0010) .. .... 58A | 2730 (+ 0018) .. .... 74C | ....  ... ..  .. .... 72E | .... .. ... . |
|  1475 | 0758 (- 0010) .. .... 5D0 | 2718 (- 0018) .. .... 788 | 26E4 (+ 001C) .. .... 774 | .... .. ... . |
|  1476 | 0748 (- 0010) .. .... 616 | 2700 (- 0018) .. .... 7C4 | 2700 (+ 001C) .. .... 7BA | .... .. ... . |
|  1477 | 0738 (- 0010) .. .... 65C | 26E8 (- 0018) .. .... 800 | 271C (+ 001C) .. .... 800 | .... .. ... . |
|  1478 | ....  ... ..  .. .... 6A2 | 26D0 (- 0018) .. .... 7C4 | 2738 (+ 001C) .. .... 7BA | .... .. ... . |
|  1479 | 0748 (+ 0010) .. .... 6E8 | ....  ... ..  .. .... 788 | 271C (- 001C) .. .... 774 | .... .. ... . |
|  1480 | 0758 (+ 0010) .. .... 72E | 26E8 (+ 0018) .. .... 74C | 2700 (- 001C) .. .... 72E | .... .. ... . |
|  1481 | 0768 (+ 0010) .. .... 774 | 2700 (+ 0018) .. .... 710 | 26E4 (- 001C) .. .... 6E8 | .... .. ... . |
|  1482 | 0778 (+ 0010) .. .... 7BA | 2718 (+ 0018) .. .... 6D4 | 26C8 (- 001C) .. .... 72E | .... .. ... . |
|  1483 | 0768 (- 0010) .. .... 800 | 2730 (+ 0018) .. .... 698 | ....  ... ..  .. .... 774 | .... .. ... . |
|  1484 | 0758 (- 0010) .. .... 7BA | 2718 (- 0018) .. .... 65C | 26E4 (+ 001C) .. .... 7BA | .... .. ... . |
|  1485 | 0748 (- 0010) .. .... 774 | 2700 (- 0018) .. .... 620 | 2700 (+ 001C) .. .... 800 | .... .. ... . |
|  1486 | 0738 (- 0010) .. .... 72E | 26E8 (- 0018) .. .... 5E4 | 271C (+ 001C) .. .... 7BA | .... .. ... . |
|  1487 | ....  ... ..  .. .... 6E8 | 26D0 (- 0018) .. .... 620 | 2738 (+ 001C) .. .... 774 | .... .. ... . |
|  1488 | 04D0 (D-2 9A) .. .... 6A2 | ....  ... ..  .. .... 65C | 271C (- 001C) .. .... 72E | .... .. ... . |
|  1489 | 04E0 (+ 0010) .. .... 65C | 26E8 (+ 0018) .. .... 698 | 2700 (- 001C) .. .... 6E8 | .... .. ... . |
|  1490 | 04F0 (+ 0010) .. .... 616 | 2700 (+ 0018) .. .... 6D4 | 26E4 (- 001C) .. .... 72E | .... .. ... . |
|  1491 | 0500 (+ 0010) .. .... 5D0 | 2718 (+ 0018) .. .... 710 | 26C8 (- 001C) .. .... 774 | .... .. ... . |
|  1492 | 04F0 (- 0010) .. .... 58A | 2730 (+ 0018) .. .... 74C | ....  ... ..  .. .... 7BA | .... .. ... . |
|  1493 | 04E0 (- 0010) .. .... 544 | 2718 (- 0018) .. .... 788 | 26E4 (+ 001C) .. .... 800 | .... .. ... . |
|  1494 | 04D0 (- 0010) .. .... 4FE | 2700 (- 0018) .. .... 7C4 | 2700 (+ 001C) .. .... 7BA | .... .. ... . |
|  1495 | 04C0 (- 0010) .. .... 4B8 | 26E8 (- 0018) .. .... 800 | 271C (+ 001C) .. .... 774 | .... .. ... . |
|  1496 | ....  ... ..  .. .... 472 | 26D0 (- 0018) .. .... 7C4 | 2738 (+ 001C) .. .... 72E | .... .. ... . |
|  1497 | 04D0 (+ 0010) .. .... 42C | ....  ... ..  .. .... 788 | 271C (- 001C) .. .... 6E8 | .... .. ... . |
|  1498 | 04E0 (+ 0010) .. .... 3E6 | 26E8 (+ 0018) .. .... 74C | 2700 (- 001C) .. .... 72E | .... .. ... . |
|  1499 | 04F0 (+ 0010) .. .... 3A0 | 2700 (+ 0018) .. .... 710 | 26E4 (- 001C) .. .... 774 | .... .. ... . |
|  1500 | 0500 (+ 0010) .. .... 35A | 2718 (+ 0018) .. .... 6D4 | 26C8 (- 001C) .. .... 7BA | .... .. ... . |
|  1501 | 04F0 (- 0010) .. .... 314 | 2730 (+ 0018) .. .... 698 | ....  ... ..  .. .... 800 | .... .. ... . |
|  1502 | 04E0 (- 0010) .. .... 2CE | 2718 (- 0018) .. .... 65C | 26E4 (+ 001C) .. .... 7BA | .... .. ... . |
|  1503 | 04D0 (- 0010) .. .... 314 | 2700 (- 0018) .. .... 620 | 2700 (+ 001C) .. .... 774 | .... .. ... . |
|  1504 | 04C0 (- 0010) .. .... 35A | 26E8 (- 0018) .. .... 5E4 | 271C (+ 001C) .. .... 72E | .... .. ... . |
|  1505 | ....  ... ..  .. .... 3A0 | 26D0 (- 0018) .. .... 620 | 2738 (+ 001C) .. .... 6E8 | .... .. ... . |
|  1506 | 04D0 (+ 0010) .. .... 3E6 | ....  ... ..  .. .... 65C | 271C (- 001C) .. .... 72E | .... .. ... . |
|  1507 | 04E0 (+ 0010) .. .... 42C | 26E8 (+ 0018) .. .... 698 | 2700 (- 001C) .. .... 774 | .... .. ... . |
|  1508 | 04F0 (+ 0010) .. .... 472 | 2700 (+ 0018) .. .... 6D4 | 26E4 (- 001C) .. .... 7BA | .... .. ... . |
|  1509 | 0500 (+ 0010) .. .... 4B8 | 2718 (+ 0018) .. .... 710 | 26C8 (- 001C) .. .... 800 | .... .. ... . |
|  1510 | 04F0 (- 0010) .. .... 4FE | 2730 (+ 0018) .. .... 74C | ....  ... ..  .. .... 7BA | .... .. ... . |
|  1511 | 04E0 (- 0010) .. .... 544 | 2718 (- 0018) .. .... 788 | 26E4 (+ 001C) .. .... 774 | .... .. ... . |
|  1512 | 04D0 (- 0010) .. .... 58A | 2700 (- 0018) .. .... 7C4 | 2700 (+ 001C) .. .... 72E | .... .. ... . |
|  1513 | 04C0 (- 0010) .. .... 5D0 | 26E8 (- 0018) .. .... 800 | 271C (+ 001C) .. .... 6E8 | .... .. ... . |
|  1514 | ....  ... ..  .. .... 616 | 26D0 (- 0018) .. .... 7C4 | 2738 (+ 001C) .. .... 72E | .... .. ... . |
|  1515 | 04D0 (+ 0010) .. .... 65C | ....  ... ..  .. .... 788 | 271C (- 001C) .. .... 774 | .... .. ... . |
|  1516 | 04E0 (+ 0010) .. .... 6A2 | 26E8 (+ 0018) .. .... 74C | 2700 (- 001C) .. .... 7BA | .... .. ... . |
|  1517 | 04F0 (+ 0010) .. .... 6E8 | 2700 (+ 0018) .. .... 710 | 26E4 (- 001C) .. .... 800 | .... .. ... . |
|  1518 | 0500 (+ 0010) .. .... 72E | 2718 (+ 0018) .. .... 6D4 | 26C8 (- 001C) .. .... 7BA | .... .. ... . |
|  1519 | 04F0 (- 0010) .. .... 774 | 2730 (+ 0018) .. .... 698 | ....  ... ..  .. .... 774 | .... .. ... . |
|  1520 | 04E0 (- 0010) .. .... 7BA | 2718 (- 0018) .. .... 65C | 26E4 (+ 001C) .. .... 72E | .... .. ... . |
|  1521 | 04D0 (- 0010) .. .... 800 | 2700 (- 0018) .. .... 620 | 2700 (+ 001C) .. .... 6E8 | .... .. ... . |
|  1522 | 04C0 (- 0010) .. .... 7BA | 26E8 (- 0018) .. .... 5E4 | 271C (+ 001C) .. .... 72E | .... .. ... . |
|  1523 | ....  ... ..  .. .... 774 | 26D0 (- 0018) .. .... 620 | 2738 (+ 001C) .. .... 774 | .... .. ... . |
|  1524 | 04D0 (+ 0010) .. .... 72E | ....  ... ..  .. .... 65C | 271C (- 001C) .. .... 7BA | .... .. ... . |
|  1525 | 04E0 (+ 0010) .. .... 6E8 | 26E8 (+ 0018) .. .... 698 | 2700 (- 001C) .. .... 800 | .... .. ... . |
|  1526 | 04F0 (+ 0010) .. .... 6A2 | 2700 (+ 0018) .. .... 6D4 | 26E4 (- 001C) .. .... 7BA | .... .. ... . |
|  1527 | 0500 (+ 0010) .. .... 65C | 2718 (+ 0018) .. .... 710 | 26C8 (- 001C) .. .... 774 | .... .. ... . |
|  1528 | 04F0 (- 0010) .. .... 616 | 2730 (+ 0018) .. .... 74C | ....  ... ..  .. .... 72E | .... .. ... . |
|  1529 | 04E0 (- 0010) .. .... 5D0 | 2718 (- 0018) .. .... 788 | 26E4 (+ 001C) .. .... 6E8 | .... .. ... . |
|  1530 | 04D0 (- 0010) .. .... 58A | 2700 (- 0018) .. .... 7C4 | 2700 (+ 001C) .. .... 72E | .... .. ... . |
|  1531 | 04C0 (- 0010) .. .... 544 | 26E8 (- 0018) .. .... 800 | 271C (+ 001C) .. .... 774 | .... .. ... . |
|  1532 | ....  ... ..  .. .... 4FE | 26D0 (- 0018) .. .... 7C4 | 2738 (+ 001C) .. .... 7BA | .... .. ... . |
|  1533 | 04D0 (+ 0010) .. .... 4B8 | ....  ... ..  .. .... 788 | 271C (- 001C) .. .... 800 | .... .. ... . |
|  1534 | 04E0 (+ 0010) .. .... 472 | 26E8 (+ 0018) .. .... 74C | 2700 (- 001C) .. .... 7BA | .... .. ... . |
|  1535 | 04F0 (+ 0010) .. .... 42C | 2700 (+ 0018) .. .... 710 | 26E4 (- 001C) .. .... 774 | .... .. ... . |
|  1536 | 0500 (+ 0010) .. .... 3E6 | 1398 (D-4 B2) 41 .... 6D4 | 26C8 (- 001C) .. .... 72E | .... .. ... . |
|  1537 | 04F0 (- 0010) .. .... 3A0 | 13B0 (+ 0018) .. .... 698 | ....  ... ..  .. .... 6E8 | .... .. ... . |
|  1538 | 04E0 (- 0010) .. .... 35A | 1398 (- 0018) .. .... 65C | 26E4 (+ 001C) .. .... 72E | .... .. ... . |
|  1539 | 04D0 (- 0010) .. .... 314 | 1380 (- 0018) .. .... 620 | 2700 (+ 001C) .. .... 774 | .... .. ... . |
|  1540 | 04C0 (- 0010) .. .... 2CE | 1368 (- 0018) .. .... 5E4 | 1398 (D-4 B2) 41 .... 7BA | .... .. ... . |
|  1541 | ....  ... ..  .. .... 314 | 1350 (- 0018) .. .... 620 | 13B0 (+ 0018) .. .... 800 | .... .. ... . |
|  1542 | 04D0 (+ 0010) .. .... 35A | ....  ... ..  .. .... 65C | 1398 (- 0018) .. .... 7BA | .... .. ... . |
|  1543 | 04E0 (+ 0010) .. .... 3A0 | 1368 (+ 0018) .. .... 698 | 1380 (- 0018) .. .... 774 | .... .. ... . |
|  1544 | 04F0 (+ 0010) .. .... 3E6 | 1380 (+ 0018) .. .... 6D4 | 1368 (- 0018) .. .... 72E | .... .. ... . |
|  1545 | 0500 (+ 0010) .. .... 42C | 1398 (+ 0018) .. .... 710 | 1350 (- 0018) .. .... 6E8 | .... .. ... . |
|  1546 | 04F0 (- 0010) .. .... 472 | 13B0 (+ 0018) .. .... 74C | ....  ... ..  .. .... 72E | .... .. ... . |
|  1547 | 04E0 (- 0010) .. .... 4B8 | 1398 (- 0018) .. .... 788 | 1368 (+ 0018) .. .... 774 | .... .. ... . |
|  1548 | 04D0 (- 0010) .. .... 4FE | 1380 (- 0018) .. .... 7C4 | 1380 (+ 0018) .. .... 7BA | .... .. ... . |
|  1549 | 04C0 (- 0010) .. .... 544 | 1368 (- 0018) .. .... 800 | 1398 (+ 0018) .. .... 800 | .... .. ... . |
|  1550 | ....  ... ..  .. .... 58A | 1350 (- 0018) .. .... 7C4 | 13B0 (+ 0018) .. .... 7BA | .... .. ... . |
|  1551 | 04D0 (+ 0010) .. .... 5D0 | ....  ... ..  .. .... 788 | 1398 (- 0018) .. .... 774 | .... .. ... . |
|  1552 | 04E0 (+ 0010) .. .... 616 | 1368 (+ 0018) .. .... 74C | 1380 (- 0018) .. .... 72E | .... .. ... . |
|  1553 | 04F0 (+ 0010) .. .... 65C | 1380 (+ 0018) .. .... 710 | 1368 (- 0018) .. .... 6E8 | .... .. ... . |
|  1554 | 0500 (+ 0010) .. .... 6A2 | 1398 (+ 0018) .. .... 6D4 | 1350 (- 0018) .. .... 72E | .... .. ... . |
|  1555 | 04F0 (- 0010) .. .... 6E8 | 13B0 (+ 0018) .. .... 698 | ....  ... ..  .. .... 774 | .... .. ... . |
|  1556 | 04E0 (- 0010) .. .... 72E | 1398 (- 0018) .. .... 65C | 1368 (+ 0018) .. .... 7BA | .... .. ... . |
|  1557 | 04D0 (- 0010) .. .... 774 | 1380 (- 0018) .. .... 620 | 1380 (+ 0018) .. .... 800 | .... .. ... . |
|  1558 | 04C0 (- 0010) .. .... 7BA | 1368 (- 0018) .. .... 5E4 | 1398 (+ 0018) .. .... 7BA | .... .. ... . |
|  1559 | ....  ... ..  .. .... 800 | 1350 (- 0018) .. .... 620 | 13B0 (+ 0018) .. .... 774 | .... .. ... . |
|  1560 | 0674 (G-2 9F) .. .... 7BA | 19D8 (G-4 B7) .. .... 65C | 1398 (- 0018) .. .... 72E | .... .. ... . |
|  1561 | 0684 (+ 0010) .. .... 774 | 19A0 (- 0038) .. .... 698 | 1380 (- 0018) .. .... 6E8 | .... .. ... . |
|  1562 | 0694 (+ 0010) .. .... 72E | ....  ... ..  .. .... 6D4 | 1368 (- 0018) .. .... 72E | .... .. ... . |
|  1563 | 06A4 (+ 0010) .. .... 6E8 | 19D8 (+ 0038) .. .... 710 | 1350 (- 0018) .. .... 774 | .... .. ... . |
|  1564 | 0694 (- 0010) .. .... 6A2 | 1A10 (+ 0038) .. .... 74C | 19D8 (G-4 B7) .. .... 7BA | .... .. ... . |
|  1565 | 0684 (- 0010) .. .... 65C | 1A48 (+ 0038) .. .... 788 | 19A0 (- 0038) .. .... 800 | .... .. ... . |
|  1566 | 0674 (- 0010) .. .... 616 | 1A80 (+ 0038) .. .... 7C4 | ....  ... ..  .. .... 7BA | .... .. ... . |
|  1567 | 0664 (- 0010) .. .... 5D0 | 1A48 (- 0038) .. .... 800 | 19D8 (+ 0038) .. .... 774 | .... .. ... . |
|  1568 | ....  ... ..  .. .... 58A | 1A10 (- 0038) .. .... 7C4 | 1A10 (+ 0038) .. .... 72E | .... .. ... . |
|  1569 | 0674 (+ 0010) .. .... 544 | 19D8 (- 0038) .. .... 788 | 1A48 (+ 0038) .. .... 6E8 | .... .. ... . |
|  1570 | 0684 (+ 0010) .. .... 4FE | 19A0 (- 0038) .. .... 74C | 1A80 (+ 0038) .. .... 72E | .... .. ... . |
|  1571 | 0694 (+ 0010) .. .... 4B8 | ....  ... ..  .. .... 710 | 1A48 (- 0038) .. .... 774 | .... .. ... . |
|  1572 | 06A4 (+ 0010) .. .... 472 | 19D8 (+ 0038) .. .... 6D4 | 1A10 (- 0038) .. .... 7BA | .... .. ... . |
|  1573 | 0694 (- 0010) .. .... 42C | 1A10 (+ 0038) .. .... 698 | 19D8 (- 0038) .. .... 800 | .... .. ... . |
|  1574 | 0684 (- 0010) .. .... 3E6 | 1A48 (+ 0038) .. .... 65C | 19A0 (- 0038) .. .... 7BA | .... .. ... . |
|  1575 | 0674 (- 0010) .. .... 3A0 | 1A80 (+ 0038) .. .... 620 | ....  ... ..  .. .... 774 | .... .. ... . |
|  1576 | 0664 (- 0010) .. .... 35A | 1A48 (- 0038) .. .... 5E4 | 19D8 (+ 0038) .. .... 72E | .... .. ... . |
|  1577 | ....  ... ..  .. .... 314 | 1A10 (- 0038) .. .... 620 | 1A10 (+ 0038) .. .... 6E8 | .... .. ... . |
|  1578 | 0674 (+ 0010) .. .... 2CE | 19D8 (- 0038) .. .... 65C | 1A48 (+ 0038) .. .... 72E | .... .. ... . |
|  1579 | 0684 (+ 0010) .. .... 314 | 19A0 (- 0038) .. .... 698 | 1A80 (+ 0038) .. .... 774 | .... .. ... . |
|  1580 | 0694 (+ 0010) .. .... 35A | ....  ... ..  .. .... 6D4 | 1A48 (- 0038) .. .... 7BA | .... .. ... . |
|  1581 | 06A4 (+ 0010) .. .... 3A0 | 19D8 (+ 0038) .. .... 710 | 1A10 (- 0038) .. .... 800 | .... .. ... . |
|  1582 | 0694 (- 0010) .. .... 3E6 | 1A10 (+ 0038) .. .... 74C | 19D8 (- 0038) .. .... 7BA | .... .. ... . |
|  1583 | 0684 (- 0010) .. .... 42C | 1A48 (+ 0038) .. .... 788 | 19A0 (- 0038) .. .... 774 | .... .. ... . |
|  1584 | 0614 (F#2 9E) .. .... 472 | 1A80 (+ 0038) .. .... 7C4 | ....  ... ..  .. .... 72E | .... .. ... . |
|  1585 | 0604 (- 0010) .. .... 4B8 | 1A48 (- 0038) .. .... 800 | 19D8 (+ 0038) .. .... 6E8 | .... .. ... . |
|  1586 | ....  ... ..  .. .... 4FE | 1A10 (- 0038) .. .... 7C4 | 1A10 (+ 0038) .. .... 72E | .... .. ... . |
|  1587 | 0614 (+ 0010) .. .... 544 | 19D8 (- 0038) .. .... 788 | 1A48 (+ 0038) .. .... 774 | .... .. ... . |
|  1588 | 0624 (+ 0010) .. .... 58A | 19A0 (- 0038) .. .... 74C | 1A80 (+ 0038) .. .... 7BA | .... .. ... . |
|  1589 | 0634 (+ 0010) .. .... 5D0 | ....  ... ..  .. .... 710 | 1A48 (- 0038) .. .... 800 | .... .. ... . |
|  1590 | 0644 (+ 0010) .. .... 616 | 19D8 (+ 0038) .. .... 6D4 | 1A10 (- 0038) .. .... 7BA | .... .. ... . |
|  1591 | 0634 (- 0010) .. .... 65C | 1A10 (+ 0038) .. .... 698 | 19D8 (- 0038) .. .... 774 | .... .. ... . |
|  1592 | 0624 (- 0010) .. .... 6A2 | 1A48 (+ 0038) .. .... 65C | 19A0 (- 0038) .. .... 72E | .... .. ... . |
|  1593 | 0614 (- 0010) .. .... 6E8 | 1A80 (+ 0038) .. .... 620 | ....  ... ..  .. .... 6E8 | .... .. ... . |
|  1594 | 0604 (- 0010) .. .... 72E | 1A48 (- 0038) .. .... 5E4 | 19D8 (+ 0038) .. .... 72E | .... .. ... . |
|  1595 | ....  ... ..  .. .... 774 | 1A10 (- 0038) .. .... 620 | 1A10 (+ 0038) .. .... 774 | .... .. ... . |
|  1596 | 0614 (+ 0010) .. .... 7BA | 19D8 (- 0038) .. .... 65C | 1A48 (+ 0038) .. .... 7BA | .... .. ... . |
|  1597 | 0624 (+ 0010) .. .... 800 | 19A0 (- 0038) .. .... 698 | 1A80 (+ 0038) .. .... 800 | .... .. ... . |
|  1598 | 0634 (+ 0010) .. .... 7BA | ....  ... ..  .. .... 6D4 | 1A48 (- 0038) .. .... 7BA | .... .. ... . |
|  1599 | 0644 (+ 0010) .. .... 774 | 19D8 (+ 0038) .. .... 710 | 1A10 (- 0038) .. .... 774 | .... .. ... . |
|  1600 | 0634 (- 0010) .. .... 72E | 1A10 (+ 0038) .. .... 74C | 19D8 (- 0038) .. .... 72E | .... .. ... . |
|  1601 | 0624 (- 0010) .. .... 6E8 | 1A48 (+ 0038) .. .... 788 | 19A0 (- 0038) .. .... 6E8 | .... .. ... . |
|  1602 | 0614 (- 0010) .. .... 6A2 | 1A80 (+ 0038) .. .... 7C4 | ....  ... ..  .. .... 72E | .... .. ... . |
|  1603 | 0604 (- 0010) .. .... 65C | 1A48 (- 0038) .. .... 800 | 19D8 (+ 0038) .. .... 774 | .... .. ... . |
|  1604 | ....  ... ..  .. .... 616 | 1A10 (- 0038) .. .... 7C4 | 1A10 (+ 0038) .. .... 7BA | .... .. ... . |
|  1605 | 0614 (+ 0010) .. .... 5D0 | 19D8 (- 0038) .. .... 788 | 1A48 (+ 0038) .. .... 800 | .... .. ... . |
|  1606 | 0624 (+ 0010) .. .... 58A | 19A0 (- 0038) .. .... 74C | 1A80 (+ 0038) .. .... 7BA | .... .. ... . |
|  1607 | 0634 (+ 0010) .. .... 544 | ....  ... ..  .. .... 710 | 1A48 (- 0038) .. .... 774 | .... .. ... . |
|  1608 | 05A0 (E-2 9C) .. .... 4FE | 26E4 (D-5 BE) .. .... 6D4 | 1A10 (- 0038) .. .... 72E | .... .. ... . |
|  1609 | 0590 (- 0010) .. .... 4B8 | 2700 (+ 001C) .. .... 698 | 19D8 (- 0038) .. .... 6E8 | .... .. ... . |
|  1610 | 0580 (- 0010) .. .... 472 | 271C (+ 001C) .. .... 65C | 19A0 (- 0038) .. .... 72E | .... .. ... . |
|  1611 | 0570 (- 0010) .. .... 42C | 2738 (+ 001C) .. .... 620 | ....  ... ..  .. .... 774 | .... .. ... . |
|  1612 | 0560 (- 0010) .. .... 3E6 | 271C (- 001C) .. .... 5E4 | 26E4 (D-5 BE) .. .... 7BA | .... .. ... . |
|  1613 | ....  ... ..  .. .... 3A0 | 2700 (- 001C) .. .... 620 | 2700 (+ 001C) .. .... 800 | .... .. ... . |
|  1614 | 0570 (+ 0010) .. .... 35A | 26E4 (- 001C) .. .... 65C | 271C (+ 001C) .. .... 7BA | .... .. ... . |
|  1615 | 0580 (+ 0010) .. .... 314 | 26C8 (- 001C) .. .... 698 | 2738 (+ 001C) .. .... 774 | .... .. ... . |
|  1616 | 0590 (+ 0010) .. .... 2CE | ....  ... ..  .. .... 6D4 | 271C (- 001C) .. .... 72E | .... .. ... . |
|  1617 | 05A0 (+ 0010) .. .... 314 | 26E4 (+ 001C) .. .... 710 | 2700 (- 001C) .. .... 6E8 | .... .. ... . |
|  1618 | 0590 (- 0010) .. .... 35A | 2700 (+ 001C) .. .... 74C | 26E4 (- 001C) .. .... 72E | .... .. ... . |
|  1619 | 0580 (- 0010) .. .... 3A0 | 271C (+ 001C) .. .... 788 | 26C8 (- 001C) .. .... 774 | .... .. ... . |
|  1620 | 0570 (- 0010) .. .... 3E6 | 2738 (+ 001C) .. .... 7C4 | ....  ... ..  .. .... 7BA | .... .. ... . |
|  1621 | 0560 (- 0010) .. .... 42C | 271C (- 001C) .. .... 800 | 26E4 (+ 001C) .. .... 800 | .... .. ... . |
|  1622 | ....  ... ..  .. .... 472 | 2700 (- 001C) .. .... 7C4 | 2700 (+ 001C) .. .... 7BA | .... .. ... . |
|  1623 | 0570 (+ 0010) .. .... 4B8 | 26E4 (- 001C) .. .... 788 | 271C (+ 001C) .. .... 774 | .... .. ... . |
|  1624 | 0580 (+ 0010) .. .... 4FE | 26C8 (- 001C) .. .... 74C | 2738 (+ 001C) .. .... 72E | .... .. ... . |
|  1625 | 0590 (+ 0010) .. .... 544 | ....  ... ..  .. .... 710 | 271C (- 001C) .. .... 6E8 | .... .. ... . |
|  1626 | 05A0 (+ 0010) .. .... 58A | 26E4 (+ 001C) .. .... 6D4 | 2700 (- 001C) .. .... 72E | .... .. ... . |
|  1627 | 0590 (- 0010) .. .... 5D0 | 2700 (+ 001C) .. .... 698 | 26E4 (- 001C) .. .... 774 | .... .. ... . |
|  1628 | 0580 (- 0010) .. .... 616 | 271C (+ 001C) .. .... 65C | 26C8 (- 001C) .. .... 7BA | .... .. ... . |
|  1629 | 0570 (- 0010) .. .... 65C | 2738 (+ 001C) .. .... 620 | ....  ... ..  .. .... 800 | .... .. ... . |
|  1630 | 0560 (- 0010) .. .... 6A2 | 271C (- 001C) .. .... 5E4 | 26E4 (+ 001C) .. .... 7BA | .... .. ... . |
|  1631 | ....  ... ..  .. .... 6E8 | 2700 (- 001C) .. .... 620 | 2700 (+ 001C) .. .... 774 | .... .. ... . |
|  1632 | 04D0 (D-2 9A) .. .... 72E | 26E4 (- 001C) .. .... 65C | 271C (+ 001C) .. .... 72E | .... .. ... . |
|  1633 | 04E0 (+ 0010) .. .... 774 | 26C8 (- 001C) .. .... 698 | 2738 (+ 001C) .. .... 6E8 | .... .. ... . |
|  1634 | 04F0 (+ 0010) .. .... 7BA | ....  ... ..  .. .... 6D4 | 271C (- 001C) .. .... 72E | .... .. ... . |
|  1635 | 0500 (+ 0010) .. .... 800 | 26E4 (+ 001C) .. .... 710 | 2700 (- 001C) .. .... 774 | .... .. ... . |
|  1636 | 04F0 (- 0010) .. .... 7BA | 2700 (+ 001C) .. .... 74C | 26E4 (- 001C) .. .... 7BA | .... .. ... . |
|  1637 | 04E0 (- 0010) .. .... 774 | 271C (+ 001C) .. .... 788 | 26C8 (- 001C) .. .... 800 | .... .. ... . |
|  1638 | 04D0 (- 0010) .. .... 72E | 2738 (+ 001C) .. .... 7C4 | ....  ... ..  .. .... 7BA | .... .. ... . |
|  1639 | 04C0 (- 0010) .. .... 6E8 | 271C (- 001C) .. .... 800 | 26E4 (+ 001C) .. .... 774 | .... .. ... . |
|  1640 | ....  ... ..  .. .... 6A2 | 2700 (- 001C) .. .... 7C4 | 2700 (+ 001C) .. .... 72E | .... .. ... . |
|  1641 | 04D0 (+ 0010) .. .... 65C | 26E4 (- 001C) .. .... 788 | 271C (+ 001C) .. .... 6E8 | .... .. ... . |
|  1642 | 04E0 (+ 0010) .. .... 616 | 26C8 (- 001C) .. .... 74C | 2738 (+ 001C) .. .... 72E | .... .. ... . |
|  1643 | 04F0 (+ 0010) .. .... 5D0 | ....  ... ..  .. .... 710 | 271C (- 001C) .. .... 774 | .... .. ... . |
|  1644 | 0500 (+ 0010) .. .... 58A | 26E4 (+ 001C) .. .... 6D4 | 2700 (- 001C) .. .... 7BA | .... .. ... . |
|  1645 | 04F0 (- 0010) .. .... 544 | 2700 (+ 001C) .. .... 698 | 26E4 (- 001C) .. .... 800 | .... .. ... . |
|  1646 | 04E0 (- 0010) .. .... 4FE | 271C (+ 001C) .. .... 65C | 26C8 (- 001C) .. .... 7BA | .... .. ... . |
|  1647 | 04D0 (- 0010) .. .... 4B8 | 2738 (+ 001C) .. .... 620 | ....  ... ..  .. .... 774 | .... .. ... . |
|  1648 | 04C0 (- 0010) .. .... 472 | 271C (- 001C) .. .... 5E4 | 26E4 (+ 001C) .. .... 72E | .... .. ... . |
|  1649 | ....  ... ..  .. .... 42C | 2700 (- 001C) .. .... 620 | 2700 (+ 001C) .. .... 6E8 | .... .. ... . |
|  1650 | 04D0 (+ 0010) .. .... 3E6 | 26E4 (- 001C) .. .... 65C | 271C (+ 001C) .. .... 72E | .... .. ... . |
|  1651 | 04E0 (+ 0010) .. .... 3A0 | 26C8 (- 001C) .. .... 698 | 2738 (+ 001C) .. .... 774 | .... .. ... . |
|  1652 | 04F0 (+ 0010) .. .... 35A | ....  ... ..  .. .... 6D4 | 271C (- 001C) .. .... 7BA | .... .. ... . |
|  1653 | 0500 (+ 0010) .. .... 314 | 26E4 (+ 001C) .. .... 710 | 2700 (- 001C) .. .... 800 | .... .. ... . |
|  1654 | 04F0 (- 0010) .. .... 2CE | 2700 (+ 001C) .. .... 74C | 26E4 (- 001C) .. .... 7BA | .... .. ... . |
|  1655 | 04E0 (- 0010) .. .... 314 | 271C (+ 001C) .. .... 788 | 26C8 (- 001C) .. .... 774 | .... .. ... . |
|  1656 | 0448 (C-2 98) .. .... 35A | 22F8 (C-5 BC) .. .... 7C4 | ....  ... ..  .. .... 72E | .... .. ... . |
|  1657 | 0438 (B-1 97) .. .... 3A0 | 22DC (- 001C) .. .... 800 | 26E4 (+ 001C) .. .... 6E8 | .... .. ... . |
|  1658 | ....  ... ..  .. .... 3E6 | 22C0 (- 001C) .. .... 7C4 | 2700 (+ 001C) .. .... 72E | .... .. ... . |
|  1659 | 0448 (C-2 98) .. .... 42C | 22A4 (- 001C) .. .... 788 | 271C (+ 001C) .. .... 774 | .... .. ... . |
|  1660 | 0458 (+ 0010) .. .... 472 | 2288 (- 001C) .. .... 74C | 22F8 (C-5 BC) .. .... 7BA | .... .. ... . |
