Load address: $F400 Init address: $F400 Play address: $F52B
Calling initroutine with subtune 0
Calling playroutine for 2650 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|   134 | 0458 (- 0010) .. .... 2CE | 2110 (- 0030) .. .... 65C | 20A8 (+ 0038) .. .... 7BA | .... .. ... . |
|   135 | 0448 (- 0010) .. .... 314 | 20E0 (- 0030) .. .... 620 | 20E0 (+ 0038) .. .... 774 | .... .. ... . |
|   136 | 0438 (B-1 97) .. .... 35A | 1D30 (A-4 B9) .. .... 5E4 | 2118 (+ 0038) .. .... 72E | .... .. ... . |
|   137 | ....  ... ..  .. .... 3A0 | 1D00 (- 0030) .. .... 620 | 2150 (+ 0038) .. .... 6E8 | .... .. ... . |
|   138 | 0448 (C-2 98) .. .... 3E6 | ....  ... ..  .. .... 65C | 2118 (- 0038) .. .... 72E | .... .. ... . |
|   139 | 0458 (+ 0010) .. .... 42C | 1D30 (+ 0030) .. .... 698 | 20E0 (- 0038) .. .... 774 | .... .. ... . |
|   140 | 0468 (+ 0010) .. .... 472 | 1D60 (+ 0030) .. .... 6D4 | 1D28 (A-4 B9) .. .... 7BA | .... .. ... . |
|   141 | 0478 (+ 0010) .. .... 4B8 | 1D90 (+ 0030) .. .... 710 | 1CF0 (- 0038) .. .... 800 | .... .. ... . |
|   142 | 0468 (- 0010) .. .... 4FE | 1DC0 (+ 0030) .. .... 74C | ....  ... ..  .. .... 7BA | .... .. ... . |
|   143 | 0458 (- 0010) .. .... 544 | 1D90 (- 0030) .. .... 788 | 1D28 (+ 0038) .. .... 774 | .... .. ... . |
|   144 | 040C (B-1 97) .. .... 58A | 3420 (G-5 C3) .. .... 7C4 | 1D60 (+ 0038) .. .... 72E | .... .. ... . |
|   145 | 03FC (A#1 96) .. .... 5D0 | 3408 (- 0018) .. .... 800 | 1D98 (+ 0038) .. .... 6E8 | .... .. ... . |
|   146 | ....  ... ..  .. .... 616 | 33F0 (- 0018) .. .... 7C4 | 1DD0 (+ 0038) .. .... 72E | .... .. ... . |
|   147 | 040C (B-1 97) .. .... 65C | ....  ... ..  .. .... 788 | 1D98 (- 0038) .. .... 774 | .... .. ... . |
|   148 | 041C (+ 0010) .. .... 6A2 | 3408 (+ 0018) .. .... 74C | 3420 (G-5 C3) .. .... 7BA | .... .. ... . |
|   149 | 042C (+ 0010) .. .... 6E8 | 3420 (+ 0018) .. .... 710 | 3404 (- 001C) .. .... 800 | .... .. ... . |
|   150 | 043C (C-2 98) .. .... 72E | 3438 (+ 0018) .. .... 6D4 | 33E8 (- 001C) .. .... 7BA | .... .. ... . |
|   151 | 042C (B-1 97) .. .... 774 | 3450 (+ 0018) .. .... 698 | ....  ... ..  .. .... 774 | .... .. ... . |
|   152 | 041C (- 0010) .. .... 7BA | 3438 (- 0018) .. .... 65C | 3404 (+ 001C) .. .... 72E | .... .. ... . |
|   153 | 040C (- 0010) .. .... 800 | 3420 (- 0018) .. .... 620 | 3420 (+ 001C) .. .... 6E8 | .... .. ... . |
|   154 | 03FC (A#1 96) .. .... 7BA | 3408 (- 0018) .. .... 5E4 | 343C (+ 001C) .. .... 72E | .... .. ... . |
|   155 | ....  ... ..  .. .... 774 | 33F0 (- 0018) .. .... 620 | 3458 (+ 001C) .. .... 774 | .... .. ... . |
|   156 | 040C (B-1 97) .. .... 72E | ....  ... ..  .. .... 65C | 343C (- 001C) .. .... 7BA | .... .. ... . |
|   157 | 041C (+ 0010) .. .... 6E8 | 3408 (+ 0018) .. .... 698 | 3420 (- 001C) .. .... 800 | .... .. ... . |
|   158 | 042C (+ 0010) .. .... 6A2 | 3420 (+ 0018) .. .... 6D4 | 3404 (- 001C) .. .... 7BA | .... .. ... . |
|   159 | 043C (C-2 98) .. .... 65C | 3438 (+ 0018) .. .... 710 | 33E8 (- 001C) .. .... 774 | .... .. ... . |
|   160 | 042C (B-1 97) .. .... 616 | 3450 (+ 0018) .. .... 74C | ....  ... ..  .. .... 72E | .... .. ... . |
|   161 | 041C (- 0010) .. .... 5D0 | 3438 (- 0018) .. .... 788 | 3404 (+ 001C) .. .... 6E8 | .... .. ... . |
|   162 | 040C (- 0010) .. .... 58A | 3420 (- 0018) .. .... 7C4 | 3420 (+ 001C) .. .... 72E | .... .. ... . |
|   163 | 03FC (A#1 96) .. .... 544 | 3408 (- 0018) .. .... 800 | 343C (+ 001C) .. .... 774 | .... .. ... . |
|   164 | ....  ... ..  .. .... 4FE | 33F0 (- 0018) .. .... 7C4 | 3458 (+ 001C) .. .... 7BA | .... .. ... . |
|   165 | 040C (B-1 97) .. .... 4B8 | ....  ... ..  .. .... 788 | 343C (- 001C) .. .... 800 | .... .. ... . |
|   166 | 041C (+ 0010) .. .... 472 | 3408 (+ 0018) .. .... 74C | 3420 (- 001C) .. .... 7BA | .... .. ... . |
|   167 | 042C (+ 0010) .. .... 42C | 3420 (+ 0018) .. .... 710 | 3404 (- 001C) .. .... 774 | .... .. ... . |
|   168 | 03CC (A#1 96) .. .... 3E6 | 3438 (+ 0018) .. .... 6D4 | 33E8 (- 001C) .. .... 72E | .... .. ... . |
|   169 | 03BC (A-1 95) .. .... 3A0 | 3450 (+ 0018) .. .... 698 | ....  ... ..  .. .... 6E8 | .... .. ... . |
|   170 | 03AC (- 0010) .. .... 35A | 3438 (- 0018) .. .... 65C | 3404 (+ 001C) .. .... 72E | .... .. ... . |
|   171 | 039C (- 0010) .. .... 314 | 3420 (- 0018) .. .... 620 | 3420 (+ 001C) .. .... 774 | .... .. ... . |
|   172 | 038C (G#1 94) .. .... 2CE | 3408 (- 0018) .. .... 5E4 | 343C (+ 001C) .. .... 7BA | .... .. ... . |
|   173 | ....  ... ..  .. .... 314 | 33F0 (- 0018) .. .... 620 | 3458 (+ 001C) .. .... 800 | .... .. ... . |
|   174 | 039C (A-1 95) .. .... 35A | ....  ... ..  .. .... 65C | 343C (- 001C) .. .... 7BA | .... .. ... . |
|   175 | 03AC (+ 0010) .. .... 3A0 | 3408 (+ 0018) .. .... 698 | 3420 (- 001C) .. .... 774 | .... .. ... . |
|   176 | 03BC (+ 0010) .. .... 3E6 | 3420 (+ 0018) .. .... 6D4 | 3404 (- 001C) .. .... 72E | .... .. ... . |
|   177 | 03CC (A#1 96) .. .... 42C | 3438 (+ 0018) .. .... 710 | 33E8 (- 001C) .. .... 6E8 | .... .. ... . |
|   178 | 03BC (A-1 95) .. .... 472 | 3450 (+ 0018) .. .... 74C | ....  ... ..  .. .... 72E | .... .. ... . |
|   179 | 03AC (- 0010) .. .... 4B8 | 3438 (- 0018) .. .... 788 | 3404 (+ 001C) .. .... 774 | .... .. ... . |
|   180 | 039C (- 0010) .. .... 4FE | 3420 (- 0018) .. .... 7C4 | 3420 (+ 001C) .. .... 7BA | .... .. ... . |
|   181 | 038C (G#1 94) .. .... 544 | 3408 (- 0018) .. .... 800 | 343C (+ 001C) .. .... 800 | .... .. ... . |
|   182 | ....  ... ..  .. .... 58A | 33F0 (- 0018) .. .... 7C4 | 3458 (+ 001C) .. .... 7BA | .... .. ... . |
|   183 | 039C (A-1 95) .. .... 5D0 | ....  ... ..  .. .... 788 | 343C (- 001C) .. .... 774 | .... .. ... . |
|   184 | 03AC (+ 0010) .. .... 616 | 3408 (+ 0018) .. .... 74C | 3420 (- 001C) .. .... 72E | .... .. ... . |
|   185 | 03BC (+ 0010) .. .... 65C | 3420 (+ 0018) .. .... 710 | 3404 (- 001C) .. .... 6E8 | .... .. ... . |
|   186 | 03CC (A#1 96) .. .... 6A2 | 3438 (+ 0018) .. .... 6D4 | 33E8 (- 001C) .. .... 72E | .... .. ... . |
|   187 | 03BC (A-1 95) .. .... 6E8 | 3450 (+ 0018) .. .... 698 | ....  ... ..  .. .... 774 | .... .. ... . |
|   188 | 03AC (- 0010) .. .... 72E | 3438 (- 0018) .. .... 65C | 3404 (+ 001C) .. .... 7BA | .... .. ... . |
